Position	Name	Country	SH	SP	DF	GK
FWD	Massimo Zafferani	San Marino	30	23	0	0
MID	Fabio Gasperoni	San Marino	28	29	29	0
MID	Francesco Berardi	San Marino	30	21	21	0
DEF	Giuseppe Ceccoli	San Marino	27	23	32	0
DEF	Gian Selva	San Marino	31	27	40	0
GK	Luca Tamagnini	San Marino	0	0	24	36
FWD	Juris Zvirbulis	Latvia	32	22	0	0
FWD	Janis Berzins	Latvia	35	36	0	0
MID	Sergejs Vasiljevs	Latvia	32	20	35	0
MID	Valerijs Priede	Latvia	35	32	23	0
DEF	Andrejs Jansone	Latvia	23	34	29	0
DEF	Gunars Smirnovs	Latvia	26	28	33	0
GK	Edgars Ozolins	Latvia	0	0	39	32
FWD	Dragan Petrovic	Serbia	47	34	0	0
FWD	Aleksandar Milosevic	Serbia	38	24	0	0
MID	Jovan Trajkovic	Serbia	32	41	36	0
MID	Zoran Ilic	Serbia	37	48	28	0
DEF	Petar Stojanovic	Serbia	31	38	32	0
DEF	Slobodan Krstic	Serbia	26	22	42	0
GK	Tomislav Rakic	Serbia	0	0	31	40
FWD	Ricardo Goncalves	Portugal	46	33	0	0
FWD	Joao Silva	Portugal	48	39	0	0
MID	Carlos Pereira	Portugal	43	48	38	0
MID	Sergio Alves	Portugal	38	49	46	0
DEF	Fernando Ribiero	Portugal	25	36	29	0
DEF	Vitor Correia	Portugal	21	41	49	0
GK	Pedro Reis	Portugal	0	0	46	37
FWD	Diego Castillo	Spain	44	34	0	0
FWD	Vicente Garcia	Spain	43	23	0	0
MID	Alvaro Vazquez	Spain	40	43	22	0
MID	Alejandro Garcia	Spain	35	31	46	0
DEF	Rafael Delgado	Spain	20	47	48	0
DEF	Jose Romero	Spain	21	38	47	0
GK	Enrique Ortega	Spain	0	0	36	38
FWD	Jean-Paul Martin	Luxembourg	24	36	0	0
FWD	Marc Nilles	Luxembourg	26	27	0	0
MID	Laurent Schroeder	Luxembourg	21	33	27	0
MID	Pascal Ferreira	Luxembourg	25	29	39	0
DEF	Rene Weis	Luxembourg	20	26	36	0
DEF	Lucien Grethen	Luxembourg	22	20	20	0
GK	Francois Engel	Luxembourg	0	0	33	30
